IP_Address,SysName,device_type,authentication,username,password,secret
10.30.62.2,SF1-CER-CORE01,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.3,SF1-CER-CORE02,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.10,SF1-CER201-SAS01,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.11,SF1-CER621-SAS01,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.12,SF1-CER621-SAS02,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.13,SF1-CER721-SAS01,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.14,SF1-CER721-SAS02,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.15,SF1-CER605-SAS01,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.16,SF1-CER605-SAS02,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.17,SF1-CER201-SAS02,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.18,SF1-CER231-SAS01,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.19,SF1-CER231-SAS02,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.20,SF1-CER301-SAS01,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.21,SF1-CER301-SAS02,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.22,SF1-CER101-SAS01,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.23,SF1-CER101-SAS02,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.24,SF1-CER327-SAS01,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.25,SF1-CER327-SAS02,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.26,SF1-CER622-ILO01,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.27,SF1-CER624-ILO01,cisco_ios,LOCAL,cisco,password,enablepassword
10.30.62.28,SF1-CER601-ILO01,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.2,CORP1-CER-CORE01,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.3,CORP1-CER-CORE02,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.10,CORP1-DC270-ASW01,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.11,CORP1-DC310-ASW01,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.12,CORP1-DC358-ASW01,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.13,CORP1-D383-ASW01,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.14,CORP1-CER-ASW01,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.15,CORP1-CER-SAS01,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.16,CORP1-CER-SAS02,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.17,CORP1-CER-IPTV01,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.18,CORP1-CER-ILO01,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.21,CORP1-SHOP-ASW01,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.26,CORP1-DC383-C-ASW01,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.27,SF1-CER624-ILO01,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.28,SF1-CER601-ILO01,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.31,SF1-BITS-SAS01,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.32,SF1-CER723-ILO01,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.33,SF1-BITS-SAS02,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.34,SF1-BITS-SAS03,cisco_ios,LOCAL,cisco,password,enablepassword
172.16.100.35,SF1-SHOP-SAS01,cisco_ios,LOCAL,cisco,password,enablepassword
10.40.98.1,SF-AMAZON-01,cisco_ios,LOCAL,cisco,password,enablepassword
